Hotel_Name,Hotel_Address,Additional_Number_of_Scoring,Average_Score,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,lat,lng
Enterprise Hotel Design Boutique,Corso Sempione 91 Fiera Milano City 20149 Milan Italy,122,8.5,4026,1686,5384,45.4867005,9.1575137
Tryp Barcelona Condal Mar Hotel,Crist bal de Moura 138 Sant Mart 08019 Barcelona Spain,60,8.1,2486,660,2290,41.4126508,2.2090895
NH Collection Barcelona Constanza,D u i Mata 66 99 Les Corts 08029 Barcelona Spain,109,8.7,3427,1542,3240,41.3885274,2.1360471
NH Collection Amsterdam Grand Hotel Krasnapolsky,Dam 9 Amsterdam City Center 1012 JS Amsterdam Netherlands,765,8.4,27391,4686,18376,52.3727067,4.8943658
Park Plaza Victoria Amsterdam,Damrak 1 5 Amsterdam City Center 1012 LG Amsterdam Netherlands,973,8,31818,4820,24407,52.377278,4.897818
Hotel Amsterdam De Roode Leeuw,Damrak 93 94 Amsterdam City Center 1012 LP Amsterdam Netherlands,85,7.9,3245,631,2600,52.373704,4.893591
Swiss tel Amsterdam,Damrak 96 Amsterdam City Center 1012 LP Amsterdam Netherlands,451,8.5,12338,2756,14786,52.3735266,4.8933041
City Rooms,Daungasse 1 6 7 08 Josefstadt 1080 Vienna Austria,35,7.9,1131,414,847,48.2133296,16.3471399
Holiday Inn Amsterdam,De Boelelaan 2 Zuideramstel 1083 HJ Amsterdam Netherlands,196,7.7,5618,1485,4875,52.3351951,4.8885354
Jaz Amsterdam,De Passage 90 Noord Holland Zuidoost 1101 AX Amsterdam Netherlands,514,8.9,20039,7108,28228,52.314371,4.9388064
Best Western Premier Hotel Couture,Delflandlaan 15 Slotervaart 1062 EA Amsterdam Netherlands,947,8.7,29879,8177,42884,52.3511137,4.8411629
Mercer Hotel Barcelona,Dels Lledo 7 Ciutat Vella 08003 Barcelona Spain,67,9.5,2049,362,4139,41.3827,2.1791999
Mercure Vienna First,Desider Friedmann Platz 2 01 Innere Stadt 1010 Vienna Austria,56,8.8,1157,516,1611,48.2114567,16.3738677
Melia Barcelona Sky 4 Sup,Diagonal Pere IV 272 Sant Mart 08005 Barcelona Spain,41,8.4,1222,217,837,41.4061636,2.2008956
Bilderberg Garden Hotel,Dijsselhofplantsoen 7 Oud Zuid 1077 BJ Amsterdam Netherlands,309,8.1,13228,2270,9657,52.3511447,4.8740764
Ako Suites Hotel,Diputaci 195 Eixample 08011 Barcelona Spain,69,8.7,2509,771,2154,41.3861153,2.1611899
Eurostars Cristal Palace,Diputaci 257 Eixample 08007 Barcelona Spain,221,8.2,7514,3046,5923,41.3897945,2.1660575
HCC St Moritz,Diputaci 262 264 Eixample 08007 Barcelona Spain,36,8.3,1722,549,1319,41.3908486,2.1680745
Petit Palace Museum,Diputacion 250 Eixample 08007 Barcelona Spain,167,8.6,5582,1594,6600,41.3888014,2.1653738
NH Amsterdam Noord,Distelkade 21 Amsterdam Noord 1031 XP Amsterdam Netherlands,83,8.2,2350,734,2646,52.3923684,4.9110442
Primero Primera,Doctor Carulla 25 Sarri St Gervasi 08017 Barcelona Spain,32,9.2,819,261,2046,41.4002812,2.1297427
Hotel 4 Barcelona,Doctor Trueta 164 Sant Mart 08005 Barcelona Spain,80,7.7,2427,771,2075,41.3959587,2.2008981
Melia Vienna,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,8.6,10958,3557,7931,48.231911,16.4129493
Graben Hotel,Dorotheergasse 3 01 Innere Stadt 1010 Vienna Austria,66,8.6,1619,657,2210,48.2078955,16.3701084
Medinaceli,Duc De Medinaceli 8 Ciutat Vella 08002 Barcelona Spain,46,7.8,2101,523,1271,41.3781685,2.1786627
Grand Hotel Downtown,Eerste Constantijn Huygensstraat 10A Oud West 1054 BR Amsterdam Netherlands,218,7.5,10414,1270,5967,52.36513,4.8729422
Amadi Park Hotel,Eerste Constantijn huygensstraat 26G Oud West 1054 BR Amsterdam Netherlands,272,8.1,7442,1615,8634,52.364962,4.873495
Hotel Casa Camper,Elisabets 11 Ciutat Vella 08001 Barcelona Spain,116,9.6,2233,732,9537,41.3832414,2.1685298
Holiday Inn London Wembley,Empire Way Wembley Brent London HA9 8DS United Kingdom,1005,8.3,33928,3469,26331,51.5590955,-0.284704
Austria Trend Hotel Lassalle Wien,Engerthstra e 173 175 02 Leopoldstadt 1020 Vienna Austria,99,8.1,2588,1287,2665,48.2273013,16.4001791
H10 Art Gallery 4 Sup,Enric Granados 62 64 Eixample 08008 Barcelona Spain,208,8.8,4458,1693,6971,41.392018,2.157066
Hotel Granados 83,Enrique Granados 83 Eixample 08008 Barcelona Spain,82,8.8,2259,573,2642,41.391843,2.156844
Best Western PLUS Epping Forest,Epping Forest 30 Oak Hill London IG8 9NY United Kingdom,193,7.5,8083,587,3925,51.603207,0.010607
NH Hesperia Barcelona del Mar,Espronceda 6 Sant Mart 08005 Barcelona Spain,76,8.2,2787,855,2533,41.4014399,2.2100745
Novotel Amsterdam City,Europaboulevard 10 Zuideramstel 1083 AD Amsterdam Netherlands,341,7.8,12022,2501,7891,52.333803,4.8884708
St Pancras Renaissance Hotel London,Euston Road Camden London NW1 2AR United Kingdom,522,8.8,24654,2058,18822,51.5267769,-0.1324905
DoubleTree By Hilton London Excel,Excel 2 Festoon Way Royal Victoria Dock Newham London E16 1RH United Kingdom,853,8.4,26005,2726,25929,51.507377,0.038657
The Guesthouse Vienna,F hrichgasse 10 01 Innere Stadt 1010 Vienna Austria,155,9.4,2947,951,7548,48.2051299,16.369036
Hotel Johann Strauss,Favoritenstra e 12 04 Wieden 1040 Vienna Austria,59,8.5,2132,627,2534,48.1949694,16.3692624
Hotel Mercure Wien Westbahnhof,Felberstra e 4 15 Rudolfsheim F nfhaus 1150 Vienna Austria,54,7.9,1592,842,1049,48.1983543,16.3375246
Savoy Hotel Amsterdam,Ferdinand Bolstraat 194 Oud Zuid 1072 LW Amsterdam Netherlands,114,6.4,9105,995,2984,52.3497431,4.8911908
Hotel Okura Amsterdam,Ferdinand Bolstraat 333 Oud Zuid 1072 LH Amsterdam Netherlands,383,8.9,8616,2295,8415,52.3487635,4.8938829
Hotel Eitlj rg,Filmteichstra e 5 10 Favoriten 1100 Vienna Austria,13,8.2,200,131,238,48.1513676,16.4064709
Hotel V Fizeaustraat,Fizeaustraat 2 Oost 1097 SC Amsterdam Netherlands,188,9.1,4558,1708,11050,52.3451511,4.9252372
Mercure Wien Zentrum,Fleischmarkt 1a 01 Innere Stadt 1010 Vienna Austria,104,8.3,2380,1105,2526,48.2114087,16.3746469
Best Western Premier Kaiserhof Wien,Frankenberggasse 10 04 Wieden 1040 Vienna Austria,128,9.4,3689,1353,8786,48.1975497,16.3686397
FourSide Hotel Suites Vienna,Freytaggasse 25 27 21 Floridsdorf 1210 Vienna Austria,76,8.6,1605,1146,1908,48.2565936,16.4031426
Millennium Copthorne Hotels at Chelsea Football Club,Fulham Road Stamford Bridge Hammersmith and Fulham London SW6 1HS United Kingdom,525,8.2,16000,1842,11490,51.481663,-0.1909565
IH Hotels Milano Ambasciatori,Galleria Del Corso 3 Milan City Center 20122 Milan Italy,141,7.8,7394,2387,4267,45.4644348,9.1952727
Crowne Plaza Amsterdam South,George Gershwinlaan 101 Zuideramstel 1082 MT Amsterdam Netherlands,203,9,3463,1349,6571,52.3357326,4.8743947
Durrants Hotel,George Street Westminster Borough London W1H 5BJ United Kingdom,353,8.1,14869,1411,10676,51.5179386,-0.1529794
Mercure Secession Wien,Getreidemarkt 5 06 Mariahilf 1060 Vienna Austria,73,8.5,1338,753,1686,48.200561,16.3647063
Hotel Well and Come,Girona 158 Eixample 08037 Barcelona Spain,161,9,7378,1589,10182,41.3991773,2.1656134
City Hotel Deutschmeister,Gr nentorgasse 30 09 Alsergrund 1090 Vienna Austria,44,8,1693,675,1904,NA,NA
Ayre Hotel Gran V a,Gran V a de les Corts Catalanes 322 Sants Montju c 08004 Barcelona Spain,391,8.8,11101,4887,17752,41.3732462,2.1474351
Sunotel Central,Gran V a De Les Corts Catalanes 570 Eixample 08011 Barcelona Spain,325,8.2,12539,3870,12044,41.3841429,2.1616896
Silken Gran Hotel Havana,Gran V a de Les Corts Catalanes 647 Eixample 08010 Barcelona Spain,156,8.5,4833,1354,5477,41.3927101,2.1722139
Cotton House Hotel Autograph Collection,Gran V a de les Corts Catalanes 670 Eixample 08010 Barcelona Spain,34,8.8,1395,156,1033,41.3915897,2.1720108
Hotel Vueling Bcn by HC,Gran Via 550 Eixample 08011 Barcelona Spain,167,8.8,4099,1696,6724,41.3831641,2.1604736
H10 Casanova,Gran Via 559 Eixample 08012 Barcelona Spain,73,8.6,2461,641,3143,41.3842608,2.1609471
Avenida Palace,Gran Via 605 Eixample 08007 Barcelona Spain,343,8.4,15609,3222,14746,41.3891168,2.1671986
Acta Atrium Palace,Gran Via Corts Catalanes 656 Eixample 08010 Barcelona Spain,218,8.5,9026,1933,8537,41.390913,2.1706981
Hotel Indigo Barcelona Plaza Catalunya,Gran Via de las Corts Catalanes 629 Eixample 08010 Barcelona Spain,67,8.6,2565,802,2295,41.391362,2.1700953
Catalonia Passeig de Gr cia 4 Sup,Gran Via de les Corts Catalanes 644 Eixample 08007 Barcelona Spain,257,9.2,6094,2116,11293,41.3901396,2.1696699
Hotel Palace GL,Gran Via de les Corts Catalanes 668 Eixample 08010 Barcelona Spain,195,9.4,3644,1266,8281,41.3916258,2.1716378
Grupotel Gran Via 678,Gran Via de les Corts Catalanes 678 Eixample 08010 Barcelona Spain,158,8.4,6100,1664,5869,41.392344,2.1729157
Hotel Casa Bonay,Gran Via de les Corts Catalanes 700 Eixample 08010 Barcelona Spain,195,8.7,7942,1416,10671,41.3935967,2.1742718
The Cumberland A Guoman Hotel,Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,1190,7.5,36040,5180,19540,51.514879,-0.1606501
FourSide Hotel Vienna City Center,Grieshofgasse 11 12 Meidling 1120 Vienna Austria,105,8.1,3625,1284,2572,48.1825159,16.3322428
Hotel Vienna,Gro e Stadtgutgasse 31 02 Leopoldstadt 1020 Vienna Austria,79,8.1,4452,1044,2329,48.2196722,16.3863588
London Marriott Hotel Grosvenor Square,Grosvenor Square Westminster Borough London W1K 6JP United Kingdom,121,7.9,7199,534,3251,51.511579,-0.1500193
Rainers Hotel Vienna,Gudrunstra e 184 10 Favoriten 1100 Vienna Austria,191,8.2,3554,1852,3395,48.1791893,16.3625367
Pol Grace Hotel,Guillem Tell 49 Sarri St Gervasi 08006 Barcelona Spain,190,8.8,6700,2220,9759,41.4017465,2.1477365
Austria Trend Hotel Bosei Wien,Gutheil Schoder Gasse 7B 10 Favoriten 1100 Vienna Austria,283,8.3,5563,3287,6042,48.1629737,16.3404024
Pertschy Palais Hotel,Habsburgergasse 5 01 Innere Stadt 1010 Vienna Austria,65,8.1,5495,1225,6019,48.2082256,16.3684123
Alma Boutique Hotel,Hafnersteig 7 01 Innere Stadt 1010 Vienna Austria,78,8.7,1997,730,3613,48.2112491,16.3776519
Flemings Mayfair,Half Moon Street Westminster Borough London W1J 7BH United Kingdom,289,8.7,9456,1161,8006,51.5064607,-0.1454198
Hilton London Green Park,Half Moon Street Westminster Borough London W1J 7BN United Kingdom,254,7.3,11515,1139,5891,51.5064534,-0.1456146
COMO The Halkin,Halkin Street Westminster Borough London SW1X 7DJ United Kingdom,27,9.3,147,76,497,51.4988977,-0.1562015
Four Seasons Hotel London at Park Lane,Hamilton Place Park Lane Westminster Borough London W1J 7DR United Kingdom,102,9.3,751,361,1605,51.504439,-0.149911
Hilton Vienna Danube Waterfront,Handelskai 269 02 Leopoldstadt 1020 Vienna Austria,239,8.4,8479,2349,6908,48.2140659,16.4217627
Hotel 55,Hanger Lane Ealing London W5 3HL United Kingdom,183,8.5,5951,722,6991,51.5213303,-0.2915052
The Harmonie Vienna,Harmoniegasse 5 7 09 Alsergrund 1090 Vienna Austria,101,9.2,2477,1083,5319,48.2199427,16.3598984
Hotel Park Villa,Hasenauerstra e 12 19 D bling 1190 Vienna Austria,37,8.6,837,564,1446,NA,NA
WestCord Fashion Hotel Amsterdam,Hendrikje Stoffelstraat 1 Slotervaart 1058 GC Amsterdam Netherlands,757,8.7,23700,5236,30722,52.357655,4.844576
The Hoxton Amsterdam,Herengracht 255 Amsterdam City Center 1016 BJ Amsterdam Netherlands,234,9.3,5852,1075,10152,52.3718665,4.8873794
Ambassade Hotel,Herengracht 341 Amsterdam City Center 1016 AZ Amsterdam Netherlands,265,9.3,5715,1611,12777,52.369391,4.8871721
Banks Mansion All Inclusive Hotel,Herengracht 519 525 Amsterdam City Center 1017 BV Amsterdam Netherlands,141,9.2,4022,803,9250,52.3653868,4.8931979
Waldorf Astoria Amsterdam,Herengracht 542 556 Amsterdam City Center 1017 CG Amsterdam Netherlands,75,9.5,2076,443,2860,52.364768,4.896945
Senator Hotel Vienna,Hernalser Hauptstra e 105 17 Hernals 1170 Vienna Austria,175,8.1,4803,2718,4324,48.2195864,16.3255339
Hotel J ger,Hernalser Hauptstra e 187 17 Hernals 1170 Vienna Austria,21,9,428,315,1088,48.2238463,16.3138357
Steigenberger Hotel Herrenhof,Herrengasse 10 01 Innere Stadt 1010 Vienna Austria,342,9,7028,2873,8813,48.2097958,16.3658705
Radisson Blu Style Hotel Vienna,Herrengasse 12 01 Innere Stadt 1010 Vienna Austria,157,8.4,5662,1189,3577,48.2101211,16.3655537
Hilton Garden Inn Vienna South,Hertha Firnberg Stra e 5 10 Favoriten 1100 Vienna Austria,22,8.1,302,244,298,48.1667886,16.344908
Austria Trend Parkhotel Sch nbrunn Wien,Hietzinger Hauptstra e 10 14 13 Hietzing 1130 Vienna Austria,247,8.6,8824,4026,9211,48.1866506,16.3023375
Club Hotel Cortina,Hietzinger Hauptstra e 134 13 Hietzing 1130 Vienna Austria,63,8.2,902,734,1238,48.1877942,16.2727214
Arion Cityhotel Vienna und Appartements,Hintschiggasse 1 10 Favoriten 1100 Vienna Austria,317,8.1,9003,3887,7089,48.1585332,16.3451115
NH Amsterdam Museum Quarter,Hobbemakade 50 Oud Zuid 1071 XL Amsterdam Netherlands,141,8,5005,854,4265,52.3560923,4.8858229
Gartenhotel Altmannsdorf Hotel 1,Hoffingergasse 26 28 12 Meidling 1120 Vienna Austria,11,8,160,235,211,48.1640345,16.3216061
Hilton London Kensington Hotel,Holland Park Avenue Kensington and Chelsea London W11 4UL United Kingdom,843,7.8,38159,3801,25931,51.5051084,-0.213266
Hotel Mercure Wien City,Hollandstra e 3 02 Leopoldstadt 1020 Vienna Austria,86,8.2,2128,910,2120,48.2152663,16.376103
Courtyard by Marriott Amsterdam Arena Atlas,Hoogoorddreef 1 Zuidoost 1101 BA Amsterdam Netherlands,237,8.4,5947,2179,5454,52.3101182,4.9472918
Holiday Inn Amsterdam Arena Towers,Hoogoorddreef 66 Zuidoost 1101 BE Amsterdam Netherlands,196,8.4,4291,1992,5352,52.3096835,4.9422614
The Lanesborough,Hyde Park Corner Westminster Borough London SW1X 7TA United Kingdom,18,9.4,310,64,485,51.50303,-0.15242
Amadi Panorama Hotel,Ijburglaan 539 Zeeburg 1087 BE Amsterdam Netherlands,253,8.4,9532,2586,11409,52.3588806,4.9886041
Room Mate Aitana,IJdock 6 Amsterdam City Center 1013 MM Amsterdam Netherlands,550,8.8,14702,4097,17746,52.3846059,4.8941866
DoubleTree by Hilton London Chelsea,Imperial Road Hammersmith and Fulham London SW6 2GA United Kingdom,360,8.3,8787,1181,8089,51.475172,-0.1870629
Hotel G tico,Jaime I 14 Ciutat Vella 08002 Barcelona Spain,15,8.2,399,139,438,41.3835584,2.178311
Hotel JL No76,Jan Luijkenstraat 76 Oud Zuid 1071 CT Amsterdam Netherlands,146,8.8,5245,914,8861,52.3595919,4.8801587
Bilderberg Hotel Jan Luyken,Jan Luykenstraat 58 Oud Zuid 1071 CS Amsterdam Netherlands,170,8.3,6372,1207,7011,52.3599196,4.8810128
Gran Hotel Barcino,Jaume I 6 Ciutat Vella 08002 Barcelona Spain,30,7,2333,448,653,41.3830582,2.1778267
Aparthotel Atenea Barcelona,Joan G ell 207 211 Les Corts 08028 Barcelona Spain,75,8,3229,1098,3798,41.3862689,2.1291786
Mercure Hotel Amsterdam City South,Joan Muyskenweg 10 Oost 1096 CJ Amsterdam Netherlands,474,8.2,15568,3568,15797,52.335182,4.9138688
Am Spiegeln,Johann H rbiger Gasse 30 23 Liesing 1230 Vienna Austria,10,8.3,617,240,331,48.1537005,16.2825822
Hotel Gallitzinberg,Johann Staud Stra e 32 16 Ottakring 1160 Vienna Austria,7,8.6,380,173,193,48.2145071,16.2845042
InterContinental Wien,Johannesgasse 28 03 Landstra e 1030 Vienna Austria,118,8.1,1949,737,1482,48.2019865,16.3789934
Dutch Design Hotel Artemis,John M Keynesplein 2 Slotervaart 1066 EP Amsterdam Netherlands,350,7.9,10549,2167,7278,52.3417894,4.824952
Mercure Josefshof Wien,Josefsgasse 4 6 08 Josefstadt 1080 Vienna Austria,227,8.3,8479,2526,7987,48.2085627,16.3541687
Fleming s Selection Hotel Wien City,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,333,8.3,15003,3672,10848,NA,NA
Cordial Theaterhotel Wien,Josefst dter Stra e 22 08 Josefstadt 1080 Vienna Austria,39,8.4,1159,422,1307,NA,NA
Vincci Bit,Josep Pla 69 Sant Mart 08019 Barcelona Spain,228,8.5,8488,2848,7872,41.4114188,2.211756
Hollmann Beletage Design Boutique,K llnerhofgasse 6 01 Innere Stadt 1010 Vienna Austria,43,9.3,1122,389,3045,48.2105156,16.3760717
Hotel Bristol A Luxury Collection Hotel,K rntner Ring 1 01 Innere Stadt 1015 Vienna Austria,38,9.1,1162,336,1269,48.2024907,16.3702656
Hotel Imperial A Luxury Collection Hotel,K rntner Ring 16 01 Innere Stadt 1015 Vienna Austria,50,9.2,808,375,1335,48.2012505,16.3731255
The Ring Vienna s Casual Luxury Hotel,K rntner Ring 8 01 Innere Stadt 1010 Vienna Austria,107,9,3716,917,4201,48.2017091,16.3710205
Grand Hotel Wien,K rntner Ring 9 01 Innere Stadt 1010 Vienna Austria,165,9,3973,1375,4199,48.2021105,16.3720841
Hotel Ambassador,K rntner Stra e 22 01 Innere Stadt 1010 Vienna Austria,150,8.3,4548,1279,3193,48.2057193,16.3710878
Austria Trend Hotel Astoria Wien,K rntner Stra e 32 34 01 Innere Stadt 1010 Vienna Austria,228,8.5,7015,2279,6655,48.2044655,16.3702399
Austria Trend Hotel Europa Wien,K rntnerstra e 18 Eingang Neuer Markt 3 01 Innere Stadt 1010 Vienna Austria,325,8.6,7248,3221,8129,48.2062103,16.3710387
Hotel Schani Wien,Karl Popper Stra e 22 10 Favoriten 1100 Vienna Austria,174,8.8,7007,2464,9864,48.1824271,16.3808291
Ozo Hotel,Karspeldreef 2 Zuidoost 1101 CJ Amsterdam Netherlands,278,7.6,12159,3383,6892,52.3047669,4.9476868
Renaissance Amsterdam Hotel,Kattengat 1 Amsterdam City Center 1012 SZ Amsterdam Netherlands,348,8,12206,1710,7579,52.377955,4.894641
Canal House,Keizersgracht 148 Amsterdam City Center 1015 CX Amsterdam Netherlands,85,9.3,2848,491,4615,52.3763099,4.8862701
The Toren,Keizersgracht 164 Amsterdam City Center 1015 CZ Amsterdam Netherlands,197,9.4,3678,948,10158,52.3758754,4.8859642
The Dylan Amsterdam,Keizersgracht 384 Amsterdam City Center 1016 GB Amsterdam Netherlands,64,9.1,1800,314,2054,52.3654686,4.8798713
Great Northern Hotel A Tribute Portfolio Hotel London,King s Cross St Pancras International Station Pancras Road Camden London N1C 4TB United Kingdom,303,8.9,11729,1110,12331,51.531427,-0.126133
De Vere Devonport House,King William Walk Greenwich London SE10 9JW United Kingdom,484,8.2,21105,1827,18498,51.480672,-0.0071375
K K Hotel Maria Theresia,Kirchberggasse 6 07 Neubau 1070 Vienna Austria,285,8.7,7967,3181,10722,48.2031622,16.3561999
Small Luxury Hotel Altstadt Vienna,Kirchengasse 41 07 Neubau 1070 Vienna Austria,69,9.3,1826,664,5374,48.2047761,16.3512515
Der Wilhelmshof,Kleine Stadtgutgasse 4 02 Leopoldstadt 1020 Vienna Austria,122,8.8,3122,1793,5833,48.2185837,16.3881339
